X, Y
653717.000000,4222587.000000
653747.000000,4222587.000000
653777.000000,4222587.000000
653807.000000,4222587.000000
653837.000000,4222587.000000
653867.000000,4222587.000000
653897.000000,4222587.000000
653927.000000,4222587.000000
653957.000000,4222587.000000
653987.000000,4222587.000000
654017.000000,4222587.000000
654047.000000,4222587.000000
654077.000000,4222587.000000
654107.000000,4222587.000000
654137.000000,4222587.000000
654167.000000,4222587.000000
654197.000000,4222587.000000
654227.000000,4222587.000000
654257.000000,4222587.000000
654287.000000,4222587.000000
654317.000000,4222587.000000
654347.000000,4222587.000000
654377.000000,4222587.000000
654407.000000,4222587.000000
654437.000000,4222587.000000
654467.000000,4222587.000000
654497.000000,4222617.000000
654527.000000,4222617.000000
654557.000000,4222647.000000
654587.000000,4222647.000000
654617.000000,4222647.000000
654647.000000,4222647.000000
654677.000000,4222647.000000
654707.000000,4222647.000000
654737.000000,4222647.000000
654767.000000,4222647.000000
654797.000000,4222647.000000
654827.000000,4222647.000000
654857.000000,4222647.000000
654887.000000,4222677.000000
654917.000000,4222677.000000
654947.000000,4222677.000000
654977.000000,4222677.000000
655007.000000,4222677.000000
655037.000000,4222677.000000
655067.000000,4222677.000000
655097.000000,4222677.000000
655127.000000,4222677.000000
655157.000000,4222677.000000
655187.000000,4222677.000000
655217.000000,4222677.000000
